Stock,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
GOOGL,0.25,0.7608695652173914,0.375,0.6116145833316091
COP,0.125,0.3007246376811594,0.25263157894736843,0.10108796794443746
HD,0.125,0.5398550724637681,0.34782608695652173,0.3516203005393638
NKE,0.125,0.40942028985507245,0.3,0.19296811787702758
ABBV,0.125,0.30434782608695654,0.3037974683544304,0.3284714849653462
C,0.08333333333333333,0.15942028985507248,0.20869565217391303,0.05157793439134943
MSFT,0.08333333333333333,0.08333333333333333,0.2823529411764706,0.26069587273144224
WFC,0.08333333333333333,0.08333333333333333,0.17647058823529413,0.021984459953079537
JPM,0.08333333333333333,0.2282608695652174,0.25,0.11802339267550375
XOM,0.08333333333333333,0.15942028985507248,0.21052631578947367,0.04418108829169499
WMT,0.08333333333333333,0.08333333333333333,0.26666666666666666,0.14987709310548594
UNH,0.08333333333333333,0.08333333333333333,0.24,0.140007789204405
PFE,0.08333333333333333,0.08333333333333333,0.24,0.14000778920440496
CVX,0.08333333333333333,0.08333333333333333,0.17777777777777778,0.018833939332667055
GS,0.08333333333333333,0.2898550724637681,0.3037974683544304,0.26879474827068095
AMZN,0.041666666666666664,0.0,0.27586206896551724,0.2253156894185802
AAPL,0.041666666666666664,0.0,0.27586206896551724,0.2253156894185802
BAC,0.041666666666666664,0.0,0.1509433962264151,0.008098875539248672
TSLA,0.041666666666666664,0.0,0.2222222222222222,0.09603893272243416
MRK,0.041666666666666664,0.0,0.1951219512195122,0.05157789777338303
JNJ,0.041666666666666664,0.0,0.1951219512195122,0.051577897773383015
BP,0.041666666666666664,0.0,0.2033898305084746,0.03724202402492774
SHEL,0.041666666666666664,0.0,0.1518987341772152,0.006939064266767243
MCD,0.041666666666666664,0.0,0.23300970873786409,0.07109009971842041
SBUX,0.041666666666666664,0.0,0.21238938053097345,0.0552145114023632
