Stock,Weight
SHEL,0.07459786202814449
TSLA,0.06601958495103068
MRK,0.06160725890238948
JNJ,0.060326243561994536
AAPL,0.05979603559169897
SBUX,0.05712352928660814
BAC,0.05436612082609967
BP,0.05334958770281755
MCD,0.04880186963511195
AMZN,0.04627465197959905
GS,0.03778213948530455
CVX,0.03448413495850229
PFE,0.03374348707925081
UNH,0.032130086375961875
WMT,0.031932103129274275
MSFT,0.031506606671566975
JPM,0.030210589209905925
XOM,0.029268253523102417
C,0.02698973505672987
WFC,0.026736748243523952
ABBV,0.025623847413540998
HD,0.023004068523687676
COP,0.02183807700931804
NKE,0.02080208147670992
GOOGL,0.011685297378125863
